"";"country";"year";"imports";"exports"
"289";"Cyprus";1993;4,09158;4,28016
"290";"Latvia";1993;1,0201;1,21238
"291";"Lithuania";1993;1,68923;1,46713
"292";"Luxembourg";1993;11,2322;13,6661
"293";"Hungary";1993;10,3876;7,9407
"294";"Malta";1993;3,08343;2,97763
"295";"Netherlands";1993;138,5277;157,8649
"296";"Austria";1993;51,6461;51,1415
"297";"Poland";1993;16,2307;17,0465
"298";"Portugal";1993;24,81241;18,62287
"299";"Romania";1993;6,16561;5,09741
"300";"Slovenia";1993;5,93209;5,96918
"301";"Slovakia";1993;7,00713;6,47565
"302";"Finland";1993;20,38299;23,88137
"303";"Sweden";1993;50,0426;56,0878
"304";"United Kingdom";1993;221,3954;218,2313
"305";"Belgium";1994;113,3553;120,0908
"306";"Bulgaria";1994;2,48855;3,32826
"307";"Denmark";1994;40,7263;48,526
"308";"Germany";1994;389,458;393,123
"309";"Estonia";1994;1,67394;1,46326
"310";"Ireland";1994;28,156;32,693
"311";"Greece";1994;21,33052;14,18858
"312";"Spain";1994;94,9416;91,0241
"313";"France";1994;236,5946;253,7204
"314";"Croatia";1994;NA;NA
"315";"Italy";1994;171,9571;202,3934
"316";"Cyprus";1994;4,569;4,78366
"317";"Latvia";1994;1,32244;1,27953
"318";"Lithuania";1994;1,79967;1,54322
"319";"Luxembourg";1994;12,4881;15,4893
"320";"Hungary";1994;11,2477;9,208
"321";"Malta";1994;3,42099;3,29203
"322";"Netherlands";1994;152,687;173,9426
"323";"Austria";1994;58,0375;55,219
"324";"Poland";1994;18,032;19,9435
"325";"Portugal";1994;27,0312;20,6007
"326";"Romania";1994;6,63061;6,15541
"327";"Slovenia";1994;6,65673;6,82328
"328";"Slovakia";1994;7,08645;7,7789
"329";"Finland";1994;24,74614;29,66445
"330";"Sweden";1994;57,9436;65,6618
"331";"United Kingdom";1994;242,6769;242,5829
"332";"Belgium";1995;124,0535;131,7234
"333";"Bulgaria";1995;3,32814;4,69522
